Date,P4TC,P1A,P2A,P3A,P4,P5,P6,P7,P8
2020-07-31,9709.0,9795.0,19223.0,11142.0,3504.0,,11795.0,,
2020-08-03,9951.0,10160.0,19473.0,11381.0,3563.0,10789.0,11995.0,,
2020-08-04,10504.0,11325.0,20132.0,11633.0,3632.0,11022.0,12415.0,,
2020-08-05,11357.0,12975.0,21418.0,12110.0,3780.0,11589.0,13005.0,,
2020-08-06,12112.0,14150.0,22591.0,12694.0,3901.0,12139.0,13625.0,,
2020-08-07,12734.0,15260.0,23364.0,13242.0,4079.0,12811.0,14000.0,,
2020-08-10,13064.0,16150.0,23805.0,13375.0,4160.0,,14075.0,,
2020-08-11,13705.0,17620.0,24441.0,13787.0,4345.0,13150.0,14370.0,,
2020-08-12,14387.0,19110.0,25441.0,14145.0,4494.0,13539.0,14720.0,,
2020-08-13,14838.0,19830.0,26618.0,14435.0,4636.0,13811.0,14940.0,,
2020-08-14,15079.0,20450.0,27136.0,14552.0,4674.0,13883.0,14945.0,,
2020-08-17,15036.0,20430.0,27145.0,14490.0,4632.0,13867.0,14880.0,,
2020-08-18,14845.0,20170.0,27045.0,14329.0,4599.0,13800.0,14640.0,,
2020-08-19,14479.0,19640.0,26509.0,14104.0,4484.0,13603.0,14265.0,,
2020-08-20,13965.0,18550.0,25827.0,13858.0,4388.0,13350.0,13925.0,,
2020-08-21,13540.0,17415.0,25291.0,13615.0,4301.0,13100.0,13865.0,,
2020-08-24,13353.0,16750.0,24855.0,13522.0,4266.0,12933.0,14030.0,,
2020-08-25,13322.0,16060.0,24541.0,13615.0,4324.0,13033.0,14510.0,,
2020-08-26,13208.0,15155.0,24325.0,13711.0,4358.0,13189.0,14865.0,,
2020-08-27,13232.0,14690.0,24127.0,13878.0,4410.0,13408.0,15240.0,,
2020-08-28,13213.0,14390.0,24077.0,13987.0,4439.0,13611.0,15345.0,,
2020-08-31,,,,,,13728.0,,,
2020-09-01,13103.0,14120.0,23886.0,13901.0,4406.0,13772.0,15350.0,,
2020-09-02,12777.0,13655.0,23250.0,13661.0,4354.0,13592.0,15080.0,,
2020-09-03,12299.0,12800.0,22580.0,13292.0,4277.0,13311.0,14755.0,,
2020-09-04,11924.0,12330.0,21968.0,12946.0,4199.0,12983.0,14413.0,,
2020-09-07,11704.0,12040.0,21595.0,12722.0,4131.0,12850.0,14258.0,,
2020-09-08,11388.0,11535.0,21102.0,12463.0,4077.0,12706.0,14023.0,,
2020-09-09,10994.0,10975.0,20405.0,12120.0,4016.0,12439.0,13715.0,,
2020-09-10,10700.0,10485.0,19855.0,11940.0,3976.0,12172.0,13490.0,,
